Date,Open,High,Low,Close,Vol.
2013-11-12,363,391.8,359,380,22.03K
2013-11-13,380,445,372.2,434.9,36.02K
2013-11-14,434.9,447.5,402.5,433.4,31.41K
2013-11-15,433.4,457.9,413,433.9,28.13K
2013-11-16,433.9,476.9,428,462,19.14K
2013-11-17,462,536.8,457,528.3,26.72K
2013-11-18,528.3,787.9,522,785.4,72.07K
2013-11-19,785.4,900.9,502.6,645.7,99.10K
2013-11-20,645.7,650,453.3,638,91.59K
2013-11-21,638,784.3,595.2,764.9,38.73K
2013-11-22,764.9,822,682.3,802,30.15K
2013-11-23,802,890,799.5,832.5,21.31K
2013-11-24,832.5,855,745.2,795,25.95K
2013-11-25,795,850,759,830,26.38K
2013-11-26,830,975,825.1,970,31.61K
2013-11-27,970,1094.8,914.3,1079.9,37.86K
2013-11-28,1079.9,1224.5,1032.1,1101.4,37.40K
2013-11-29,1101.4,1241.9,1050,1206.9,38.71K
2013-11-30,1206.9,1232.9,1150.2,1205.7,15.10K
2013-12-01,1205.7,1216.8,840.3,1004.4,79.92K
2013-12-02,1004.4,1117.7,975,1096.6,37.05K
2013-12-03,1096.6,1185.6,1064.9,1154.9,19.34K
2013-12-04,1154.9,1239.7,1131.3,1237.6,16.30K
2013-12-05,1237.6,1239.9,870,1106.3,58.44K
2013-12-06,1106.3,1118.9,800.1,845,53.52K
2013-12-07,845,896,576,697,97.66K
2013-12-08,697,829,653,804,31.21K
2013-12-09,804,980,787.7,919,27.63K
2013-12-10,919,1067.7,912,1033.7,22.10K
2013-12-11,1033.7,1056.8,856.1,919.9,24.36K
2013-12-12,919.9,941,839.5,900,9.91K
2013-12-13,900,989.9,882.1,936.8,17.37K
2013-12-14,936.8,947.9,875.1,908.9,11.59K
2013-12-15,908.9,927.9,838,919.9,15.17K
2013-12-16,919.9,924.9,714,759.9,41.33K
2013-12-17,759.9,780,678.9,715,31.71K
2013-12-18,715,717,454.9,541,110.50K
2013-12-19,541,746,522.4,732,45.76K
2013-12-20,732,774.4,621.3,650,34.77K
2013-12-21,650,690,610,640.5,14.73K
2013-12-22,640.5,699.9,615,639.5,11.63K
2013-12-23,639.5,724.9,631,713.2,15.07K
2013-12-24,713.2,729.9,666,702.8,10.95K
2013-12-25,702.8,710,673.9,707.3,5.34K
2013-12-26,707.3,829.6,707.2,802,23.53K
2013-12-27,802,836.8,767.9,803,13.89K
2013-12-28,803,806,715.6,762,13.34K
2013-12-29,762,804,735,785,7.04K
2013-12-30,785,818.8,781,804.8,10.48K
2013-12-31,804.8,813.9,777,805.9,9.17K
2014-01-01,805.9,829.9,771,815.9,10.76K
2014-01-02,815.9,886.2,810.5,856.9,12.81K
2014-01-03,856.9,888.2,839.4,884.3,9.71K
2014-01-04,884.3,932.2,848.3,924.7,14.24K
2014-01-05,924.7,1029.9,911.4,1014.7,21.37K
2014-01-06,1014.7,1093.4,964.7,1012.7,23.08K
2014-01-07,1012.7,1044,879.8,879.9,22.67K
2014-01-08,879.9,966.9,858.9,938.8,14.10K
2014-01-09,938.8,964.6,866.5,937,14.42K
2014-01-10,937,964.8,905.9,957.8,6.35K
2014-01-11,957.8,1010.8,935,1005.3,11.18K
2014-01-12,1005.3,1022.7,922.1,939.8,9.93K
2014-01-13,939.8,949.2,879.9,922.9,10.13K
2014-01-14,922.9,942.5,904.2,919.3,4.31K
2014-01-15,919.3,973.1,915.1,941.2,6.83K
2014-01-16,941.2,955.5,910.5,913.5,5.10K
2014-01-17,913.5,929.8,867.2,894.2,10.31K
2014-01-18,894.2,924.7,884.7,905.7,6.04K
2014-01-19,905.7,958.1,901.9,954.8,7.57K
2014-01-20,954.8,980.5,926,956,10.41K
2014-01-21,956,974.3,943.2,962.2,6.59K
2014-01-22,962.2,973.9,935,951,4.78K
2014-01-23,951,958.1,936.3,944.2,1.97K
2014-01-24,944.2,949.5,902.9,916.5,6.20K
2014-01-25,916.5,978.4,915.9,961,8.18K
2014-01-26,961,1038.1,950.7,1007,13.07K
2014-01-27,1007,1021.5,937.2,943.5,8.33K
2014-01-28,943.5,972.6,911.7,932.7,10.41K
2014-01-29,932.7,950.6,918.9,925.7,5.68K
2014-01-30,925.7,953.2,909.5,941.4,5.43K
2014-01-31,941.4,954.7,924.6,938.8,4.31K
2014-02-01,938.8,969.2,927.8,940.4,4.37K
2014-02-02,940.4,959.4,934.4,953.3,1.58K
2014-02-03,953.3,959.6,931.7,931.7,2.79K
2014-02-04,931.7,949.1,900.8,926.6,4.61K
2014-02-05,926.6,939.8,890,904.5,7.56K
2014-02-06,904.5,908.8,800.9,828.9,18.60K
2014-02-07,828.9,833.1,651.7,695.7,49.91K
2014-02-08,695.7,719.3,632.1,648.8,22.88K
2014-02-09,648.8,694.1,622.5,659.6,19.89K
2014-02-10,659.6,700,500,582.6,40.13K
2014-02-11,582.6,609.7,550.2,579,16.73K
2014-02-12,579,585.1,511.9,531.1,21.30K
2014-02-13,531.1,549.2,451.3,451.4,28.94K
2014-02-14,451.4,500,302.2,427.7,65.82K
2014-02-15,427.7,447.9,310.1,371.1,50.62K
2014-02-16,371.1,540,220.4,299.8,86.18K
2014-02-17,299.8,411.2,263.4,272.3,51.44K
2014-02-18,272.3,370.1,248.3,294,48.88K
2014-02-19,294,308.6,257.2,261.5,31.50K
2014-02-20,261.5,271.6,109.2,111.9,102.18K
2014-02-21,111.9,160.1,91.7,111.6,82.59K
2014-02-22,111.6,290.6,96.7,255.6,72.17K
2014-02-23,255.6,349.1,220.3,310.2,38.55K
2014-02-24,310.2,316.9,131.9,174,95.12K
2014-02-25,174,174.6,102.3,135.8,30.43K
2014-02-26,135.8,650,522.8,593.1,0.60K
2014-02-27,593.1,629.9,580.5,596.5,0.50K
2014-02-28,596.5,599,570,573.9,0.51K
2014-03-01,573.9,564.1,262.8,557.4,0.40K
2014-03-02,557.4,562.9,541.5,544.6,0.83K
2014-03-03,544.6,695.4,545.4,662.2,1.26K
2014-03-04,662.2,686.2,645.2,661.8,1.37K
2014-03-05,661.8,666,636.8,658.3,1.26K
2014-03-06,658.3,661.8,636.2,648.3,2.07K
2014-03-07,648.3,655.2,600.3,616.7,2.34K
2014-03-08,616.7,625.7,588.6,609.2,2.17K
2014-03-09,609.2,637.6,598.5,627,1.95K
2014-03-10,627,633.7,594.7,613,2.63K
2014-03-11,613,619.7,599.9,608.7,2.43K
2014-03-12,608.7,640.8,608.2,619.4,3.20K
2014-03-13,619.4,636.1,616.1,625,3.41K
2014-03-14,625,631.2,610.6,614,4.00K
2014-03-15,614,628.8,609.2,624,3.46K
2014-03-16,624,627.3,613.2,619.1,3.30K
2014-03-17,619.1,622.5,602.7,606.4,3.58K
2014-03-18,606.4,611.7,585.7,598.9,3.65K
2014-03-19,598.9,607.1,590.1,595,3.58K
